year,family_group,family_group_label,children_count,children_label,income_band_order,income_band_key,income_band,families,families_stated_total,share_within_child_group,aggregation_note
2021,couple,Couple families with children,2,2 children,7,650_799,$650-$799,13062,1152489,0.011333730734089435,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,3,3 children,7,650_799,$650-$799,5487,397905,0.01378972367776228,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,4m,4+ children,7,650_799,$650-$799,2807,98106,0.02861190956720282,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,1,1 child,8,800_999,$800-$999,26889,995272,0.027016735123664686,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,2,2 children,8,800_999,$800-$999,19725,1152489,0.0171151308168668,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,3,3 children,8,800_999,$800-$999,8189,397905,0.020580289265025573,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,4m,4+ children,8,800_999,$800-$999,4203,98106,0.04284141642712984,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,1,1 child,9,1000_1499,"$1,000-$1,499",116250,995272,0.11680224099542638,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,2,2 children,9,1000_1499,"$1,000-$1,499",90228,1152489,0.07828968432670506,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,3,3 children,9,1000_1499,"$1,000-$1,499",35822,397905,0.09002651386637514,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,4m,4+ children,9,1000_1499,"$1,000-$1,499",16809,98106,0.1713350865390496,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,1,1 child,10,1500_1999,"$1,500-$1,999",129580,995272,0.1301955646295686,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,2,2 children,10,1500_1999,"$1,500-$1,999",124264,1152489,0.10782228724091944,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,3,3 children,10,1500_1999,"$1,500-$1,999",45722,397905,0.11490682449328357,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,4m,4+ children,10,1500_1999,"$1,500-$1,999",18410,98106,0.18765416997941003,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,1,1 child,11,2000_2499,"$2,000-$2,499",159361,995272,0.16011803808406144,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
